timestamp,voltage,temperature,precipitation
1773184812.690224,130.1,65.05,0.43
1773184817.697306,130.0,65.0,0.43
1773184822.715806,122.0,61.0,0.41
1773184827.747161,131.9,65.95,0.44
1773184832.777958,131.9,65.95,0.44
1773185080.244284,118.9,59.45,0.4
1773185086.518885,128.8,64.4,0.43
1773185091.526199,133.1,66.55,0.44
1773185096.531773,124.7,62.35,0.42
1773188184.991947,132.5,66.25,0.44
1773188190.002579,116.7,58.35,0.39
1773606682.536855,117.9,58.95,0.39
1773606687.54231,124.3,62.15,0.41
1773606774.489038,124.0,62.0,0.41
1773606779.494075,125.2,62.6,0.42
1773606784.502188,130.1,65.05,0.43
1773606789.513148,119.0,59.5,0.4
1773607821.058628,127.05,63.52,0.42
1773607826.063315,127.9,63.95,0.43
1773607864.0,124.4,62.2,0.41
1773607869.0,127.6,63.8,0.43
1773607882,121.5,60.75,0.4
1773607887,126.45,63.22,0.42
1773611418,123.89999999999999,61.95,0.41
1773611423,126.09999999999998,63.05,0.42
1773611483,124.1,62.05,0.41
1773611488,129.07,64.54,0.43
